b'http://images2.chictopia.com/photos/braNYaudreY/8593275033/black-h-m-dress-black-h-m-shirt-black-reserved-socks-gold-h-m-pants_400.jpg',2018-04-02,b'braNYaudreY',b'Elegant;Dinner Party;spring;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/ ',b'black:H&M dress;'
b'http://images2.chictopia.com/photos/braNYaudreY/10898553653/red-h-m-coat-black-zara-hat-white-h-m-sweater-black-reserved-socks_400.jpg',2018-01-11,b'braNYaudreY',b'Classic;Work;winter;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/ ',b'red:H&M coat;'
b'http://images0.chictopia.com/photos/braNYaudreY/11360923830/black-parfois-purse-white-h-m-blouse-black-nine-west-heels-gold-h-m-pants_400.jpg',2018-01-01,b'braNYaudreY',b'Elegant;Fashion Show;winter;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/ ',b'black:Parfois purse;'
b'http://images2.chictopia.com/photos/districtofchic/9196127270/black-patent-leather-mango-boots-black-winter-coat-marc-new-york-coat_400.jpg',2017-12-29,b'districtofchic',b'Chic;Work;winter;',b'More on District of Chic...',b'black:Mango boots;'
b'http://images2.chictopia.com/photos/braNYaudreY/11463182986/black-nine-west-shoes-black-iskon-mode-dress-black-parfois-bag_400.jpg',2017-10-21,b'braNYaudreY',b'Elegant;Birthday;fall;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/ ',b'black:Nine West shoes;'
b'http://images2.chictopia.com/photos/Sissy/4362409808/zara-shirt-mango-pants_400.jpg',2017-12-11,b'Sissy',b'Casual;Everyday;fall;',b'live these colours matching with fall days!!!',b':Zara shirt;'
b'http://images0.chictopia.com/photos/itsAndrei/6508128831/black-marelbo-shoes-black-zara-coat-black-h-m-pants_400.jpg',2017-09-20,b'itsAndrei',b'Chic;Everyday;Summer;',"b'I know that there are a few more days until the fall equinox, but today I felt that Autumn came, for good\xe2\x80\xa6'",b'black:Marelbo shoes;'
b'http://images2.chictopia.com/photos/districtofchic/7306660830/mustard-hoops-mango-earrings-white-sheer-crop-top-topshop-top_400.jpg',2017-09-13,b'districtofchic',b'Chic;Dinner Date;summer;',"b'When we don\xe2\x80\x99t have weekend obligations (which seems rare these days), one of our favorite things to do is to wander lazily up and down 14th St. Most of my favorite DC stores are here and it\xe2\x80\x99s hard to find a bad restaurant in the bunch. Whenever friends come to town and ask for shopping and dining recommendations, I almost always send them to this area. So for you, my dear readers, here are my go-to favorites.'",b'mustard:Mango earrings;'
b'http://images2.chictopia.com/photos/gvozd/9511007706/nbd-pants_400.jpg',2017-08-11,b'gvozd',b'Bohemian;Brunch;summer;',b'http://www.gvozdishe.com/2017/08/retro-soul.html',b':NBD pants;'
b'http://images0.chictopia.com/photos/braNYaudreY/10593997607/white-pretty-ballerinas-shoes-pink-cos-sweater-black-zara-bag_400.jpg',2017-07-29,b'braNYaudreY',b'Casual;Traveling;spring;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/',b'white:Pretty Ballerinas shoes;'
b'http://images2.chictopia.com/photos/braNYaudreY/4498928211/black-asos-boots-blue-metisu-coat-gray-rehab-hat-black-ofinger-store-bag_400.jpg',2017-07-27,b'braNYaudreY',b'Classic;Art Opening;winter;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/',b'black:asos boots;'
b'http://images0.chictopia.com/photos/braNYaudreY/6423160995/nude-tiffany-production-scarf-nude-tiffany-production-bag_400.jpg',2017-07-26,b'braNYaudreY',b'Bohemian;Traveling;summer;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/',b'nude:Tiffany Production scarf;'
b'http://images2.chictopia.com/photos/braNYaudreY/6336006960/black-tommy-hilfiger-boots-army-green-the-point-bag-black-leather-zara-pants_400.jpg',2017-07-24,b'braNYaudreY',b'Business Casual;Conference;winter;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/',b'black:Tommy Hilfiger boots;'
b'http://images0.chictopia.com/photos/braNYaudreY/2765212598/light-pink-metisu-coat-black-lindex-hat-white-zara-bag_400.jpg',2017-07-25,b'braNYaudreY',b'Elegant;Theatre/Opera/Symphony;winter;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/',b'light pink:Metisu coat;'
b'http://images0.chictopia.com/photos/braNYaudreY/6903805126/light-brown-bata-shoes-light-blue-oviesse-shirt-orange-zara-scarf_400.jpg',2017-07-23,b'braNYaudreY',b'Casual;Shopping;spring;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/',b'light brown:Bata shoes;'
b'http://images0.chictopia.com/photos/braNYaudreY/10836866776/white-iskon-mode-jacket-black-parfois-bag-black-h-m-pants_400.jpg',2017-07-22,b'braNYaudreY',b'Comfortable;Casual Party;summer;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/',b'white:Iskon Mode jacket;'
b'http://images0.chictopia.com/photos/braNYaudreY/6618560370/hot-pink-tiffany-production-bag-navy-tiffany-production-pants_400.jpg',2017-07-21,b'braNYaudreY',b'Classic;Formal;spring;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/',b'hot pink:Tiffany Production bag;'
b'http://images0.chictopia.com/photos/braNYaudreY/4532855514/vlada-savi\xc4\x87-dress-parfois-bag-yellow-vlada-savi\xc4\x87-pants_400.jpg',2017-07-19,b'braNYaudreY',b'Elegant;Cocktail;spring;',b'More pictures of this look you can find on blog: http://branasdivineworld.com/',b':Vlada Savi\xc4\x87 dress;'
