b'http://images2.chictopia.com/photos/braNYaudreY/6847214310/yellow-metisu-dress-yellow-zara-earrings_400.jpg',2018-04-01,b'braNYaudreY',b'Elegant;Photo Shoot;spring;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/ ',b'yellow:Metisu dress;'
b'http://images2.chictopia.com/photos/braNYaudreY/8593275033/black-h-m-dress-black-h-m-shirt-black-reserved-socks-gold-h-m-pants_400.jpg',2018-04-02,b'braNYaudreY',b'Elegant;Dinner Party;spring;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/ ',b'black:H&M dress;'
b'http://images2.chictopia.com/photos/elizabethkeene/8500568777/jovani-dress_400.jpg',2018-03-06,b'elizabethkeene',b'Sexy;Bridal Shower;spring;',"b'My little pink dress may be impractical for the weather in Paris, but she still wanted to have a Parisian moment. Plus, rainy days call for indoor photo shoots. See how I styled this little number for a cold day over on IG stories!'",b':Jovani dress;'
b'http://images2.chictopia.com/photos/elizabethkeene/9991783013/maxi-dress-guessjlo-collection-dress_400.jpg',2018-02-16,b'elizabethkeene',b'Chic;Formal;spring;\xd1\x84\xd0\xb8\xd0\xbe\xd0\xbb\xd0\xb5\xd1\x82 \xd0\xb8 \xd0\xb1\xd0\xb5\xd0\xb6;',b'https://www.instagram.com/p/BfPwfLBhKG5/?taken-by=elizabethkeene\xc2\xa0I was never a huge fan of purple but I recently started wearing it & now it\xe2\x80\x99s becoming a fave. Loving this maxi from the @guess x @jlo collection',b':Guess+Jlo collection dress;'
b'http://images0.chictopia.com/photos/elizabethkeene/11029327792/maroon-velvet-lulus-dress-mustard-vintage-bag_400.jpg',2018-02-15,b'elizabethkeene',b'Classic;Romantic Dinner;spring;',b'When it comes to finding the perfect dress for Valentine\xe2\x80\x99s Day at @lulus is always my first stop! I\xe2\x80\x99m sharing my three favorite dresses from their site over on www.akeensenseofstyle.com! Be sure to take a peek and let me know which one is your favorite!',"b""maroon:Lulu's dress;"""
b'http://images2.chictopia.com/photos/elizabethkeene/8139473492/red-nordstrom-boots-black-sweater-dress-free-people-dress_400.jpg',2018-01-29,b'elizabethkeene',b'Chic;Other;Summer;',"b'There are few trends sassier than over the knee boots. Sure, they can be toned down in a more subtle hue, but in a fiery shade of red, they just about scream ""not afraid to take fashion risks."" I\'d say that\'s partially true. While I do love to take risks occasionally with my outfits I also feel that the best outfits are balanced. Since I knew these boots were going to be sassy and sexy, I styled the top half of my outfit in a more toned down, preppy, girl-next-door sort of way. And this was the perfect color combination for the holiday season.'",b'red:Nordstrom boots;'
b'http://images0.chictopia.com/photos/elizabethkeene/2054602762/nude-jimmy-choo-shoes-light-pink-storets-dress-white-dolce-gabbana-bag_400.jpg',2018-01-27,b'elizabethkeene',b'Romantic;Other;Summer;',"b""The combination of tulle, pearls and a pink bow is undeniably girly. When it comes to dressing up, I always like to focus on one thing that will make my outfit pop, sometimes it can be a pair of cute heels or a great blazer, and sometimes it can be a fabulous accessory. That's what I love about fashion, you don't always need your clothing to be the one that's making the statement. Accessories work great too! I planned my whole outfit around this pretty bow and I'm sure that I did because all day I just wanted to twirl in the sun.""",b'nude:Jimmy Choo shoes;'
b'http://images2.chictopia.com/photos/districtofchic/8488997440/white-kitten-heel-nicholas-kirkwood-shoes-black-eyelet-maje-dress_400.jpg',2018-01-17,b'districtofchic',b'Chic;Holiday Party;winter;',b'More on District of Chic...',b'white:Nicholas Kirkwood shoes;'
b'http://images2.chictopia.com/photos/RuxandraIoana/8670858749/zaful-dress-zac-zac-posen-bag-sergio-rossi-sandals_400.jpg',2017-10-05,b'RuxandraIoana',b'Casual;Everyday;fall;',b'More to see here:\xc2\xa0http://from-brussels-with-love.blogspot.be/2017/10/foolish-mind.html',b':zaful dress;'
b'http://images2.chictopia.com/photos/braNYaudreY/11463182986/black-nine-west-shoes-black-iskon-mode-dress-black-parfois-bag_400.jpg',2017-10-21,b'braNYaudreY',b'Elegant;Birthday;fall;',b'More pictures of this look you can find on my blog: http://branasdivineworld.com/ ',b'black:Nine West shoes;'
